slug_title,job_id,company_name,title,description,description_length,remote,url,city,region,country,created_at,created_date,created_year,created_month
werkstudentin community management berlin,208751,Bücherbüchse,Werkstudent:in Community Management (m/w/d),"Ihre Aufgaben

Als junges Unternehmen mit flachen Hierarchien, bieten wir Dir ein breitgefächertes Spektrum an interessanten Aufgaben- und Entwicklungsfeldern rund um unsere Community:

• Du unterstützt unserer Social Media Manager:innen bei der Interaktion mit unserer Community auf den verschiedenen Social Media Plattformen (Instagram, TikTok, Facebook, Threads, WhatsApp, usw.)

• Du reagierst auf Kommentare, beantwortest Fragen und gehst aktiv in den Dialog mit unseren Kund:innen und Follower:innen.

• Du verfolgst die Themen in der Buchbubble, beteiligst dich am Austausch und leitest daraus Impulse für unsere Contentplanung und -Creation ab, bei der du auch gerne aktiv unterstützen kannst.

• Du moderierst unsere Communities auf den unterschiedlichen Plattformen und gestaltest eigene Formate (Umfragen, Gruppen, Challenges, etc.), um die Nutzer z.B. in der Produktentwicklung einzubeziehen.

Ihr Profil

• Das Wichtigste: Begeisterung. Für Bücher, Social Media und den Austausch mit unserer Community.

• Kommunikation auf Deutsch und Englisch fällt dir leicht, mündlich wie schriftlich.

• Dich Interessen Trends und Entwicklungen rund um Social Media und bist in der Lage relevante Themen für unsere Marken zu erkennen.

• Du bist selbst aktiv auf den gängigen Social Media Plattformen und hast ein gutes Gespür für den Vibe und die Tonalität der einzelnen Kanäle.

• Erste Canva-Kenntnisse sind von Vorteil.

• Du arbeitest strukturiert, eigenverantwortlich und zuverlässig.

• Der Umgang mit Menschen macht dir Spaß und du agierst jederzeit respektvoll und emphatisch.

• Du bist Buchaffin, insbesondere in den Genres Fantasy, Romance oder Dark Romance

• Bereitschaft auch mal am Abend/am Wochenende stundenweise zu arbeiten

Warum wir?

• Kreativen Freiraum, um eigene Ideen einzubringen und umzusetzen

• Flexible Arbeitszeiten

• Vertrauensgleitzeit

• Kreativität, Verantwortungsübernahme und Gestaltungsmöglichkeiten

• Spaß an der Arbeit in einem jungen Team

• Pluxee Benefit-Card als monatlicher Mitarbeiter Benefit oder Gesundheitsbudget

• attraktiver Mitarbeiterrabatt auf unser Produktportfolio

• 30 Urlaubstage bei einer durchschnittlichen 5-Tage-Woche

• Möglichkeit zu 100% Home-Office zu arbeiten",2232,1,https://www.arbeitnow.com/jobs/companies/bucherbuchse/werkstudentin-community-management-berlin-208751,Berlin,unknown,unknown,2026-02-12 12:34:39,2026-02-12,2026,2
lohn software support magdeburg,433063,SelectLine Group,Lohn-Software Support,"Du liebst es, wenn aus einem Problem eine saubere Lösung wird? Du hast Freude daran, Kunden bei lohnbezogenen Fragestellungen mit Softwarebezug zu unterstützen und suchst eine Position, in der Fachlichkeit, Technik und Service sinnvoll zusammenkommen? Dann bist Du bei der SelectLine Software in Magdeburg genau richtig. Als Lohn-Software Support unterstützt Du unsere Kunden bei der täglichen Arbeit mit unserer Lohnlösung und sorgst dafür, dass sie zuverlässig und effizient eingesetzt werden – kompetent, strukturiert und serviceorientiert.

Bewirb dich jetzt!

Arbeitsort: remote oder in Magdeburg

Aufgaben

• Du unterstützt unsere Direktkunden bei fachlichen und technischen Fragen rund um unsere Lohnsoftware und bearbeitest Supportanfragen über alle Kanäle (ohne steuerliche Beratung).

• Du analysierst Kundenanliegen, findest passende Lösungen und begleitest auch anspruchsvollere fachliche und technische Fragestellungen.

• Du führst bei Bedarf Fernwartungen durch und unterstützt bei der Lösung komplexerer Kundenprobleme.

• Du dokumentierst alle relevanten Arbeitsschritte und Statusmeldungen strukturiert und nachvollziehbar im Ticketsystem.

Qualifikation

• Du hast eine abgeschlossene kaufmännische oder technische Ausbildung oder eine vergleichbare Qualifikation

• Du bringst Erfahrung im Kundensupport mit – idealerweise im ERP- oder Software-Umfeld

• Du gehst sicher mit Ticketsystemen und CRM-Tools um

• Du verfügst über Grundkenntnisse in ERP-Prozessen, kaufmännischen Abläufen und im Bereich Lohn

• Du überzeugst durch Kommunikationsstärke, Serviceorientierung und eine strukturierte Arbeitsweise.

• Du hast solides IT-Basiswissen (Hardware, Software, Netzwerke, Datenbanken)

Benefits

• Flexibilität & Remote-Optionen: Hybrides Arbeiten – mit flexiblen Arbeitszeiten für eine gute Work-Life-Balance.

• Benefits, die dich begeistern: 30 Tage Urlaub, JobRad, Deutschlandticket, Events, moderne Hardware und der Sicherheit einer zukunftsstarken Unternehmensgruppe.

• Ein motiviertes Team mit offener Kommunikation und kurzen Entscheidungswegen.

Ansprechpartner: Pauline Floegel

Find more English Speaking Jobs in Germany on Arbeitnow",2166,1,https://www.arbeitnow.com/jobs/companies/selectline-group/lohn-software-support-magdeburg-433063,Magdeburg,unknown,unknown,2026-02-12 12:34:38,2026-02-12,2026,2
content social media manager magdeburg,350378,SelectLine Group,Content & Social Media Manager (m/w/d),"Dein Feed ist nie langweilig und dein Kopf erst recht nicht?

Du liebst Trends, Storytelling und starke Visuals und willst Content machen, der auffällt und hängen bleibt? Dann passt das hier ziemlich gut zusammen. Bei der SelectLine Holding am Standort Magdeburg gestaltest du digitale Kommunikation aktiv mit. Du bekommst Raum für deine Ideen, Verantwortung für eigene Projekte und arbeitest in einem kreativen Team, das Content entwickelt, der sichtbar ist, relevant bleibt und Menschen wirklich erreicht.

Bewirb dich jetzt bei der SelectLine Group!

Arbeitsort: Magdeburg

Aufgaben

• Du entwickelst Content-Strategien für Web, Social Media und Newsletter und setzt sie eigenständig um.

• Du produzierst, bearbeitest und finalisierst Foto- und Video-Content für Kampagnen, Reels und Stories.

• Du betreust unsere Social-Media-Kanäle von Redaktionsplanung über Posting bis Community Management.

• Du arbeitest eng mit Grafik, Marketing und anderen Teams zusammen, um Kampagnen effektiv umzusetzen.

• Du planst und begleitest Interviews, Drehs und Shootings an verschiedenen Standorten.

• Du stellst eine konsistente, moderne und wiedererkennbare Markenkommunikation sicher.

Qualifikation

• Du hast ein Studium oder eine vergleichbare Ausbildung in Medien, Kommunikation, Design oder Marketing.

• Du bringst Erfahrung in Content-Produktion, Social Media Management und Medienbearbeitung mit.

• Du gehst sicher mit Foto-, Video- und Grafiktools um und hast ein gutes Gespür für visuelle Qualität.

• Du schreibst zielgruppengerechte Texte und arbeitest datenbasiert, organisiert und strukturiert.

Benefits

• Flexibilität & Remote-Optionen: Hybrides Arbeiten – mit flexiblen Arbeitszeiten für eine gute Work-Life-Balance.

• Benefits, die dich begeistern: 30 Tage Urlaub, JobRad, Deutschlandticket, Events, moderne Hardware & höhenverstellbare Tische – plus: ein stabiler Arbeitgeber mit Sinn fürs Team.

• Gestaltungsfreiraum: Du bekommst viel kreativen Freiraum und kannst deine Ideen aktiv in die Weiterentwicklung unserer Kommunikation einbringen.

Find more English Speaking Jobs in Germany on Arbeitnow",2119,0,https://www.arbeitnow.com/jobs/companies/selectline-group/content-social-media-manager-magdeburg-350378,Magdeburg,unknown,unknown,2026-02-12 12:34:37,2026-02-12,2026,2
customer support specialist e commerce dusseldorf,142891,MORE MONEY MORE LOVE,Customer Support Specialist (E-Commerce),"Wir entwickeln Streetwear mit hohem Anspruch an Produkt und Umsetzung.

Ein starker Kundenservice ist für uns kein Nebenbereich, sondern ein zentraler Bestandteil unserer Brand.

Für unser wachsendes E-Commerce-Geschäft suchen wir eine strukturierte und erfahrene Person, die unseren Customer Support professionell steuert und weiterentwickelt.

Aufgaben

Bearbeitung von Kundenanfragen per E-Mail und ggf. Chat

Retouren- und Refund-Abwicklung

Kommunikation mit externem Fulfillment bei Versandproblemen

Einhaltung und Optimierung von SLA-Zeiten

Pflege und Weiterentwicklung von Antwortvorlagen und SOPs

Analyse der häufigsten Ticket-Gründe

Regelmäßiges Reporting zu Support-KPIs (Response Time, CSAT etc.)

Qualifikation

Mehrjährige Erfahrung im E-Commerce Customer Support

Erfahrung mit Shopify und gängigen Helpdesk-Tools (z. B. Gorgias, Zendesk)

Sicherer Umgang mit Google Sheets oder Excel

Strukturierte, selbstständige Arbeitsweise

Sehr gutes Deutsch in Wort und Schrift

Sehr gutes Englisch für interne Abstimmungen

Erfahrung mit Ticketvolumen von 300+ pro Woche von Vorteil

Benefits

Direkter Einfluss auf Kundenzufriedenheit und Prozesse

Kurze Entscheidungswege

Ein wachsendes E-Commerce-Umfeld

Die Möglichkeit, Strukturen aktiv mitzugestalten

Schick uns deinen Lebenslauf sowie eine kurze Beschreibung deiner bisherigen Support-Erfahrung und dein mögliches Startdatum.

Find more English Speaking Jobs in Germany on Arbeitnow",1452,0,https://www.arbeitnow.com/jobs/companies/more-money-more-love/customer-support-specialist-e-commerce-dusseldorf-142891,Düsseldorf,unknown,unknown,2026-02-12 12:34:36,2026-02-12,2026,2
senior frontend engineer freelance berlin,312658,bettercoach.de GmbH,Senior Frontend Engineer (m/f/d) - Freelance,"Our vision is for people to feel fulfilled and satisfied in their work. We rely on coaching to bring this vision to life within organizations.

Since 2017, we have been offering a platform with a global pool of coaches to expand and scale coaching services in companies. We are one of the pioneers in Europe and work with more than 500 multinational companies such as ASML, Atos, BASF, Capgemini, NTT Data, Merck, and Telekom.

We are self-funded, proud of our company culture, and pursue our mission by fostering autonomy, authenticity, sustainability, well-being, and a passion for development in our daily work.

Tasks

• Lead and execute the migration of legacy frontend applications to React with TanStack Router

• Architect and implement scalable frontend solutions using React and modern best practices

• Design and optimize GraphQL integrations, working closely with backend teams to ensure efficient data fetching patterns

• Establish and maintain frontend coding standards, patterns, and best practices across the team

• Mentor junior and mid-level engineers on React development, state management, and performance optimization

• Collaborate with product, design, and backend teams to deliver high-quality user experiences

• Conduct thorough code reviews and contribute to improving our development processes

Requirements

Required Qualifications

• 5+ years of professional frontend development experience, with at least 3 years focused on React

• Proven track record of successfully migrating production applications to React, specifically with experience using TanStack Router (formerly React Router v6+)

• Strong expertise with GraphQL, including experience with Apollo Client, React Query, or similar libraries

• Deep understanding of the GraphQL ecosystem (schema design, queries, mutations, subscriptions, caching strategies)

• Solid grasp of React best practices including hooks, component composition, performance optimization, and modern state management patterns

• Experience with TypeScript in production environments

• Strong understanding of frontend build tools and module bundlers (Vite, Webpack, or similar)

• Familiarity with testing frameworks (Jest, React Testing Library, Playwright/Cypress)

Nice to Have

• Experience with server-side rendering or Next.js

• Knowledge of design systems and component library development

• Contributions to open-source projects

• Experience with micro-frontend architectures

• Background in accessibility (WCAG) and performance optimization

Benefits

• A motivated team that values ownership, builds on trust, and practices open communication.

• Your professional growth matters to us: benefit from regular, appreciative feedback and be part of a people-centered culture that supports continuous development.

• Strong team spirit and engaging team events that foster real connection.

• Flexible collaboration with a strong focus on autonomy and self-managed work.

• Access to complimentary coaching sessions.

• An attractive compensation model with performance-based incentives.

• Fully flexible remote work arrangements, allowing you to work from wherever you are most productive.

We’re looking for an experienced Senior Frontend Engineer (m/f/d) to join us on a freelance contract basis and help drive the evolution of our frontend architecture.

This is a remote freelance position (independent contractor, not a permanent employment role). The position is ideal for someone who has successfully led complex migration projects and has deep expertise in modern React development.

Find more English Speaking Jobs in Germany on Arbeitnow",3629,1,https://www.arbeitnow.com/jobs/companies/bettercoachde-gmbh/senior-frontend-engineer-freelance-berlin-312658,Berlin,unknown,unknown,2026-02-12 12:34:36,2026-02-12,2026,2
verfahrenstechniker m w dermbach,231884,isel-automation GmbH & Co. KG,Verfahrenstechniker (m/w),"Die isel-automation GmbH & Co. KG ist ein Forschungs- und Entwicklungsunternehmen mit Sitz in Thüringen und Berlin. Unter dem Slogan „from components to systems“ werden für die Bereiche Mechanik, Elektronik, Software, Systeme, Display und Lifestyle weltweit einmalige Produkte & Systeme zur Serienreife entwickelt. Hierzu werden Beziehungen zu Partnern und Lizenznehmern auf dem gesamten Globus aufgebaut.

Wir suchen einen Verfahrenstechniker für unser Ammoniak Projekt.

Aufgaben

• 1. Prozessentwicklung & -optimierung

• Auslegung und Berechnung von Ammoniak-Prozessanlagen

• Thermodynamische und strömungstechnische Auslegung (z. B. Druck, Temperatur, Massenströme)

• Simulation von Prozessen (z. B. Aspen, DWSIM oder vergleichbare Tools)

• Optimierung von Wärmeübertragern, Reaktoren, Absorptions-/Desorptionssystemen

• Entwicklung von NH₃-Speicher- und Rückgewinnungssystemen

• 2. Anlagenplanung & Projektbegleitung

• Erstellung von R&I-Fließbildern (P&ID)

• Auswahl geeigneter Werkstoffe (Korrosionsbeständigkeit gegen NH₃)

• Mitwirkung bei Genehmigungsverfahren

• Zusammenarbeit mit Konstruktion, Elektrotechnik und Automatisierung

• Begleitung von Inbetriebnahmen

• 3. Sicherheit & Compliance

• Erstellung von Sicherheitskonzepten (ATEX, Druckgeräte-Richtlinie, AwSV etc.)

• HAZOP-Analysen

• Bewertung von Leckageszenarien

• Notfall- und Risikobewertung

• Schulung von Mitarbeitenden im sicheren Umgang mit Ammoniak

• 4. Forschung & Innovation

• Weiterentwicklung von NH₃-basierten Energiesystemen

• Untersuchung alternativer Speicherstoffe oder Absorptionsmaterialien

• Patentrecherche und Mitwirkung an Schutzrechtsanmeldungen

Verantwortungsbereich

• Technische Verantwortung für NH₃-Prozesse

• Dokumentation und Validierung

• Unterstützung der Geschäftsführung bei strategischen Technologieentscheidungen

• Mitwirkung an Investitionsentscheidungen

Berichtslinie

Direkt der technischen Leitung / Geschäftsführung unterstellt

Qualifikation

Fachliche Anforderungen

• 
Abgeschlossenes Studium in:

• 
Verfahrenstechnik

• 
Chemieingenieurwesen

• 
Chemietechnik

• 
Energietechnik (mit verfahrenstechnischem Schwerpunkt)

• 
Fundierte Kenntnisse in:

• 
Thermodynamik

• 
Stoff- und Wärmeübertragung

• 
Druck- und Reaktionstechnik

• 
Ammoniak-Synthese, -Speicherung oder -Nutzung

• 
Erfahrung mit:

• 
Druckanlagen

• 
Gasverflüssigung

• 
Absorptions-/Desorptionsprozessen

• 
Sicherheitsanforderungen bei toxischen Gasen

• 
Kenntnisse relevanter Normen und Regelwerke (z. B. BetrSichV, TRGS, DIN, EN)

Persönliche Kompetenzen

• Hohe Sicherheits- und Verantwortungsorientierung

• Analytisches Denkvermögen

• Strukturierte und lösungsorientierte Arbeitsweise

• Innovationsfreude

• Teamfähigkeit in interdisziplinären Projekten

Wir freuen uns auf Ihre Bewerbung!",2810,0,https://www.arbeitnow.com/jobs/companies/isel-automation-gmbh-co-kg/verfahrenstechniker-m-w-dermbach-231884,Dermbach,unknown,unknown,2026-02-12 12:34:35,2026-02-12,2026,2
sap fico berater frankfurt am main,45285,Pertemps ERP,SAP FICO Berater (m/w/d),"Aufgaben

SAP FICO Berater (m/w/d) – Deutschlandweit | 100% Home Office

Sind Sie ein SAP Berater, der neue Herausforderungen im FICO-Bereich sucht?

Dann wäre diese Stelle bei einem marktführenden Beratungshaus perfekt für Sie!

Qualifikation

Hier sind die Eckdaten zur Stelle:

• Standort – 100% Home Office

• Sprachen – Mindestens B2 Deutsch

• Gehalt– bis zu 110.000 EUR (abhängig von Erfahrung)

• Fähigkeiten– gute Customizing-Kenntnisse in FI/CO und Kommunikationsfähigkeiten

• Reisetätigkeit – gelegentliche Reise ist erforderlich

Erfahrung mit S/4 HANA und externer Beratung wäre von Vorteil, aber nicht erforderlich!

Klingt diese Stelle interessant? Dann bewerben Sie sich heute!

Wann wäre ein guter Zeitpunkt für einen Anruf mit mir, um die Details zu besprechen?",780,1,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-fico-berater-frankfurt-am-main-45285,Frankfurt am Main,unknown,unknown,2026-02-12 12:34:35,2026-02-12,2026,2
system engineer virtualisierung plattform cologne,410796,Sysfacts AG,System Engineer (m/w/d) - Virtualisierung & Plattform,"Du administrierst nicht nur, du gestaltest! Bei uns modernisierst du Datacenter-Infrastrukturen für mittelständische Unternehmen und kritische Infrastrukturen. Von der Planung bis zum stabilen Betrieb.

Wir sind Transition Engineers, keine klassischen IT-Dienstleister. Das heißt: Wir beraten nicht nur, wir setzen um. Wir verschwinden nicht nach dem Konzept, sondern bleiben bis die Lösung läuft. Herstellerneutral, betriebsfest, übergabefähig.

Das Besondere: Du wechselst zwischen Projekten und Betrieb. Du führst eigene Migrations- und Modernisierungsprojekte (mit Mentoring), siehst ständig neue Technologien und Umgebungen – aber ohne den unruhigen Lifestyle eines klassischen Consultants. Kein Dauerstress, kein ständiger Kundenwechsel, kein Hotel-Hopping.

Arbeitsmodell: Remote von überall in Deutschland. Team-Treffen 1-2x/Monat in Koblenz. Kundeneinsätze 1-2x/Monat (Rechenzentren, Migrationen, Inbetriebnahmen).

Aufgaben

Du kannst zwischen Betrieb und Projekten auswählen, das Beste aus beiden Welten. Du siehst viel, lernst ständig dazu, aber ohne den Stress eines klassischen Consultants, der alle 3 Monate beim nächsten Kunden von vorne anfängt.

Projekte (ca. 40%) – hier führst du

Du leitest eigene Projekte von Anfang bis Ende. Nicht als Berater, der nach dem Konzept verschwindet, sondern mit voller Umsetzungsverantwortung: Du planst, du baust, du übergibst.

• Datacenter-Migrationen: Standortwechsel, Colocation-Umzüge, Hardware-Refreshs

• Plattform-Modernisierungen: VMware-zu-Proxmox-Migrationen, Storage-Upgrades, Virtualisierungs-Konsolidierungen

• Resilienz-Projekte: Disaster-Recovery-Konzepte, Hochverfügbarkeit, Backup-Strategien

• Technische Projektleitung: Du koordinierst Umsetzung, stimmst dich mit Kunden ab, übergibst an Betriebsteams

Mentoring durch Senior Engineers, aber du trägst die Verantwortung. Ab dem ersten Jahr.

Betrieb (ca. 60%) – hier bleibst du am Puls

Du betreibst die Infrastrukturen, die wir gebaut haben. Das hält dich technisch scharf und zeigt dir, was in der Praxis wirklich funktioniert.

• Datacenter-Infrastruktur: Windows Server, Active Directory, M365, Proxmox VE

• Virtualisierung & Storage: Proxmox VE, VMware, Ceph, Performance-Optimierung

• Backup & Recovery: Veeam Backup, Restore-Tests, DR-Drills

• Monitoring & Incident Response: Prometheus, Grafana, Troubleshooting

• Dokumentation: Runbooks, As-Built, Wissenstransfer

Kein stumpfes Ticket-Abarbeiten. Du optimierst, automatisierst, machst Systeme besser.

Qualifikation

Das bringst du mit:

• 2-5 Jahre Erfahrung in Systemadministration oder vergleichbar

• Fundierte Kenntnisse: Windows Server, Active Directory, M365

• Hands-on mit Virtualisierung (Proxmox VE, VMware, Hyper-V)

• Erfahrung mit Backup-Lösungen (idealerweise Veeam)

• Grundverständnis Netzwerk & Security (VLANs, Firewalls, VPNs)

• Strukturierte Arbeitsweise, Verantwortungsbewusstsein, Lernbereitschaft

• Deutsch verhandlungssicher (C1/C2), Englisch gut

Nice-to-have:

Linux-Administration, Storage-Systeme (Ceph, NetApp), Automatisierung (Ansible, Terraform), Monitoring (Prometheus, Grafana), Zertifizierungen (Microsoft, VMware, Proxmox, Veeam).

Benefits

Du wirst richtig gut

• 3.000 € Weiterbildungsbudget pro Jahr. Du entscheidest, was du lernen willst.

• Echtes Mentoring durch Senior Engineers, die über 200 Datacenter‑Projekte umgesetzt haben: Code Reviews, Architektur-Sessions, Pair-Working. Nicht als ""Buddy-Programm"", sondern echtes technisches Mentoring.

• Eigenverantwortliche Projektleitung ab dem ersten Jahr, du triffst technische Entscheidungen und steuerst echte Kundenprojekte mit starkem Backup.

• Zugang zu Lab-Umgebungen. Du willst Proxmox Cluster testen? Ceph ausprobieren? Ansible-Playbooks bauen? Mach. Wir haben die Infrastruktur, du hast die Zeit.

Du arbeitest, wie du willst

• 100% Remote von überall in Deutschland. Punkt.

• Team-Treffen 1-2x/Monat in Koblenz. Planung, Austausch und gemeinsames Essen, keine Meetings aus Prinzip.

• Kundeneinsätze 1–2x monatlich Rechenzentren, Migrationen, Inbetriebnahmen. mit komplett erstatteten Reisekosten und Spesen – ohne Bürokratie.

• Coworking-Budget von 100 € pro Monat, wenn du nicht nur zuhause arbeiten willst. Deine Entscheidung.

Du verdienst gut

• 50.000–65.000 € brutto pro Jahr, abhängig von deiner Erfahrung. Wir sagen dir im ersten Gespräch wo du stehst.

• Unbefristeter Vertrag nach der Probezeit, betriebliche Altersvorsorge mit Arbeitgeberzuschuss und vermögenswirksame Leistungen.

• Hardware nach Wahl: MacBook Pro oder ThinkPad. plus vollständige Homeoffice-Ausstattung (Monitor, Tastatur, Maus, Headset, etc.)

Attraktives Gesamtpaket

• 30 Tage Urlaub, wir möchten, dass du regelmäßig abschalten kannst. Darum bieten wir dir volle 30 Urlaubstage für echte Erholung, ohne Diskussionen, ohne Tricks.

• Gute Planbarkeit im Team, realistischen Workloads, klaren Prioritäten und transparenter Abstimmung. So weißt du frühzeitig, was ansteht und kannst dein Leben zuverlässig planen.

• Kurze Entscheidungswege ohne Bürokratie, bei uns musst du nicht erst drei Ebenen fragen. Entscheidungen werden schnell getroffen, Prozesse sind schlank und pragmatisch.

Starke Teamkultur

• Wir stehen füreinander ein, keine Einzelkämpfer, keine Ellenbogen.

Du arbeitest in einem Team, das Wertschätzung, Humor und gegenseitige Unterstützung lebt.

Wir sind Transition Engineers für kritische IT-Infrastrukturen. Seit 2019 haben wir über 200 Datacenter-Projekte umgesetzt und betreuen über 40 Mio. € IT-Budget (kumuliert). Team: 11-50 Engineers, Präsenz in 8 europäischen Ländern, NPS >87.

Unsere Kunden: Mittelständische Unternehmen, kritische Infrastrukturen, öffentliche Hand. Unsere Technologien: Proxmox VE, VMware, Ceph, Veeam, Ansible, Terraform.

Was uns unterscheidet: Herstellerneutral (keine Vendor-Agenda), betriebsfest (pragmatische Architektur), übergabefähig (As-Built, Runbooks, Trainings von Anfang an).",5919,1,https://www.arbeitnow.com/jobs/companies/sysfacts-ag/system-engineer-virtualisierung-plattform-cologne-410796,Cologne,unknown,unknown,2026-02-12 12:03:28,2026-02-12,2026,2
finance backoffice manager in vollzeit remote mannheim,233961,BlickSolutions GmbH,Finance & Backoffice Manager/in (m/w/d) (Vollzeit) (Remote),"Als Finance & Backoffice Mitarbeiter/in bist du das organisatorische Rückgrat unseres Unternehmens. Du sorgst dafür, dass alle kaufmännischen Prozesse reibungslos laufen und unser Team sich auf das Wesentliche konzentrieren kann - während du im Hintergrund den Laden am Laufen hältst.

Aufgaben

So sieht dein Tag aus:

• Erstellung und Verwaltung von Eingangs- und Ausgangsrechnungen

• Vorbereitung der Buchhaltung für unseren Steuerberater

• Überwachung von Zahlungseingängen und Mahnwesen

• Abstimmung von Konten und Klärung offener Posten

• Unterstützung bei der Erstellung von Reports und Auswertungen

• Verwaltung von Verträgen, Abonnements und wiederkehrenden Zahlungen

Qualifikation

Das bringst du mit:

• Abgeschlossene kaufmännische Ausbildung oder vergleichbare Qualifikation

• Mindestens 3 Jahre Berufserfahrung in der Buchhaltung oder im Backoffice

• Sicherer Umgang mit DATEV, SevDesk oder vergleichbaren Buchhaltungssystemen

• Sehr gute Excel-/Google Sheets-Kenntnisse

• Grundkenntnisse im Steuer- und Handelsrecht (HGB, UStG)

• Strukturierte, gewissenhafte und detailorientierte Arbeitsweise

• Hohe Zahlenaffinität und analytisches Denkvermögen

• Diskretion und Zuverlässigkeit im Umgang mit sensiblen Daten

• Deutsch auf Muttersprachenniveau, gutes Englisch von Vorteil

Benefits

Wir bieten dir:

• Maximale Ownership und Vertrauen

• Motiviertes Team & leistungsstarkes Umfeld

• 30 Tage Urlaub + Geburtstag & Weihnachten frei

• Flache Hierarchien mit kurzen Entscheidungswegen

• 100% Remote, Office in Mannheim möglich

• Team Events & Off Sites

• Apple Hardware

""Konnten wir dein Interesse wecken?""

Spaß - wenn du bis hier gelesen hast, sollten wir sprechen.

PS: Bitte duze uns in deinem Anschreiben

Find more English Speaking Jobs in Germany on Arbeitnow",1798,1,https://www.arbeitnow.com/jobs/companies/blicksolutions-gmbh/finance-backoffice-manager-in-vollzeit-remote-mannheim-233961,Mannheim,unknown,unknown,2026-02-12 12:03:27,2026-02-12,2026,2
marketing manager netherlands social media influencer marketing berlin,89470,NORSAN (GmbH),Marketing Manager Netherlands- Social Media & Influencer Marketing (m/f/d) - Berlin,"Velkommen om bord – Welcome aboard!

What can you expect? A team with Norwegian roots – highly motivated and international – manufacturer of the best omega-3 products – a crew with a lot of omega-3 expertise – this and much more, that’s NORSAN.

Our mission? We want to inform and educate about omega-3 fatty acids and their positive effects on the body. At the same time we want to develop and offer the best omega-3 products for an optimal supply.

How do we want to achieve this? We – the NORSAN crew – a sailing team of clever minds, tackle the task with a lot of commitment, creativity, and fun. We are there for each other and jump in where the waves are at their highest. We are a strong team with a common goal and keep the course and sails taut even in strong winds.

Tasks

Your responsibilities on deck:

• You will actively shape the further development of the marketing strategy for NORSAN Netherlands

• You will be independently responsible for our social media channels (Instagram, Facebook, LinkedIn) and develop a monthly editorial and content plan

• You will plan and organize live events on Instagram and implement them independently

• You will manage our cooperation and influencer marketing in the B2C sector – both online and offline

• You will develop newsletters, creative campaigns, and cross-media concepts that inspire our community

• You will develop marketing measures and materials, such as press advertisements or flyers

• You will discover new trends and platforms (e.g., TikTok, podcasts) and use them creatively for our brand – and you will have no problem standing in front of the camera yourself from time to time

Requirements

What we expect from you:

• You have at least 2-3 years of professional experience in marketing – ideally with a focus on social media marketing

• A degree in marketing, communication, business administration/marketing, or comparable training is an advantage

• Dutch is your native language and you speak German or English well

• Tools such as Canva, CapCut, and WordPress are not foreign to you, but are part of your everyday life

• Ideally, you have already worked with Google Ads or Meta Ads – not a must, but an advantage

• You are eager to make a difference, think outside the box, and work in a solution- and goal-oriented manner

• An interest in nutrition and health topics is highly desirable

Benefits

Vær en viktig del – become an important part of the NORSAN team

Responsibility, trust and lots of room to advance. Our goal is to further your personal and professional development.

Helse er det viktigste – because health is of importance

Big and small health benefits with purpose and love around your well-being because you matter.

Suksess feirer vi sammen – we celebrate victories

The achievement of a milestone is celebrated. For your private dreams and wishes, you also participate in the attractive NORSAN bonus program.

En NORSAN-familie – one NORSAN family

With us you will experience unique team events, big and small. Inhale the true NORSAN team spirit and be inspired by the fresh winds blowing in our sails.

Bli litt bedre, steg for steg – Improve step by step

Besides our mission to contribute to a healthier society we also take a step towards a healthier and more sustainable world by engaging and investing in social projects.

Place of work: Berlin-Friedrichshain / Full-time

Please send your application with your salary expectations and the earliest possible start date. We are looking forward to hearing from you.

Luisa Schulze from NORSAN",3559,0,https://www.arbeitnow.com/jobs/companies/norsan-gmbh/marketing-manager-netherlands-social-media-influencer-marketing-berlin-89470,Berlin,unknown,unknown,2026-02-12 12:03:26,2026-02-12,2026,2
